Column_0,Column_1,Column_2,Column_3,Column_4
S.No,Name of the Company/Drive,Personal interaction,Technical questions,Programming questions
1,ELLUCIAN,"The questions mostly were on 1) HR type  and  
2) The students were asked with the situational based questions.","1)Cloud based questions were the common. 
2)coding questions -sorting the numbers,
 3)even or odd question
4)Questions related to the project work.","1)To print the prime numbers and to print the unique prime numbers from the set of numbers were asked.
2)MCQ based on DBMS,OOPs etc were asked."
2,Phonepe,"1.HR type questions
2.Project based questions","1.OOPS based questions
2.Output based questions
3.Linux based
4.Networking
5.Python Script","1.Find the current age of person if dob is given in java
2,Sum of digits until it becomes a unit number
3.Merge two arrays
4.Calculate discount based on conditions"
3,Mathco,"1.Questions on the projects being done
2.Perefernce of Programming Language and questions related to it","1.Questions on Machine Learning
2.Supervised and Unsupervised Learning
3.Reinforcement Learning
4.K-means
5.SVM
6.Hyperplane
7.Regression
8.classification","1.Reverse a string using python
2.Remove duplicates using python"
5,Outcomes,1.Questions related to resume and project,"1.Questions on DBMS
2.What are the 4 plllars of OOPS?
3.Puzzle Questions","1.Programming Questions on Data structure
2.Two sum problem"
6,MSG,"1.Questions based on projects
2.Questions based on full stack","1.Basic DSA Questions
2Sorting.
3.Questions related to pointers
4.In depth questions on projects","1.MCQ questions based on computer fundamentals.
2.Output prediction questions
3.Verbal Communication questions"
7,Epsilon,"1.Internship related questions
2.Webite Development
3.Selling a water bottle-Marketing
4.Block Chain Questions
5.Regsarding college","1.Basic SQL questions
2.Rate in SQL
3.Triggers in SQL
4.Graphs and Trees
5.DFS,BFS
6.Recursion
7.Transaction in Database","1.Compettitive programming questions
2.Parity bit program
3.Few plants are given and 1 mug of water you have to waterthe plants by prioritizing
4.Buyer  Seller problem -Max profit
5.Array is given find the subarray with mximum value."
8,Accenture,"1.Personal Introduction
2.Internship
3.Conflicts related Internship
4.Least favourite subject and how you cope up
5.Related to Project
6.Strengths and Weakness
7.Challenges faced during Project","1.Questions based on Computer Networks
2.Psuedocode
3.Basics of SQL
4.Question on OOPS
5.Microsoft Excel office questions
6.Questions based on Cloud
7.Questions on DBMS","1.Check a number is round or not
2.Pattern based Aptitude questions
3.Coding and Decoding questions
4.Bood Relations
5.Directions questions
6.Seating arrangements
7.Programming through a game"
9,Capgemini,"1.Personal introduction 2.Normal HR questions
3.Java based questions
4.Project based questions","1.Questions based on Cloud
2.Binary trees
3.Prefix Postfix Evaluation
4.DBMS based questions
5.Pseudo code questions","1.From the array you have to seggregrate numbers as even or odd with minimum number of steps
2.Scenarion based programming question"
8,Maesrk,"1.Questions based on Projects
2.Interest in stock market and questions related to it
3.Questions based on Bit Coin","1.Questions from DBMS
2.ACID property
3.Writing simple SQL queries
4.JRE in Java
5.Real life examples
6.Polymorphism
7.Multiple Inheritance
8.Reverse a linked list
9.Depth First search
10.Security related questions based on database","1.Leet code programming questions
2.To check how many palindromes are possible using a set of characters
3.How to read the contents from CSV file?
4.A die is rooled if the number is even sum of all even elements of array and if number is odd then sum of all odd numbers"
