Sno,Company name,Technical Questions,Programming questions,Personal interaction
1,Cognizant ,"1. Basic html questions. 
2. Oops concept.
3. Syntax of dbms like creating a table etc
4. To write queries from a given table.
5. Basic syntax and definitions from python.
6.Difference btw foreign key and primary key 
7. Simple SQL queries
8. Difference between C vs C++
9. Using namespace std;   -> it's explanation ","1. General questions on C++
",
2,Ellucian,"1. Find the output of the code snippets. 
2. I was also asked to write queries for the schemas provided.
3. GFG puzzles 
4. operations of link lists
5. Hashing and encryption
6. Cloud based concepts and implementations
7.Tested Python knowledge","1.The interviewer had picked up one of my projects and had asked a lot of questions on that particular project. They also asked to demonstrate the project. So, I had to actually run the project, later was asked to explain some parts of the code
2. Programs on Link list and basic data structures (JAVA)",
3,Epicor,"1. OOPS concepts 
2. DBMS quesries and normal forms 
3. REST APIs
4. Searching and sorting Algorithms
5. Class definition
6. Polymorphism it's types with an example
7. Data abstraction
8. Prevelant Operating systems in the industry
9. What is Interface ?
10. Explain Disc scheduling algorithms
11. Explain Job scheduling algorithms - Bellman Ford algorithm in detail
12. What is a thread, process, deadlock?
13. Sql queries on joins
14. Explain Normalization and it's types
15. Explain Primary key and unique key and their difference
16. All the skills I claimed in the first page of my resume. SQL Update query and find 2nd max salary. ","1. Check Valid Parenthesis, 
2. Traversal of tree, 
3.Permutations of string in another, 
4. Array sorting
5. Any programming language of our choice preferably Java. 
6. Pascal's Triangle
7. Palindrome number
8. Find the last element of a circular linked list. 
9. Write Quick sort program
10. One algorithm question and they give a input and output and ask you to write the code for it(for me it was reversing a array but using C).
11. Write a program to remove minimum element in an array
12. Question on oops concept
13. Question on sorting algorithm (Linear , bubble and quick sort) 
",
4,Surewaves,"1. Write the SQL Code for finding the second highest salary of an employee in the employee table

2. Write the SQL Code for finding the highest salary of an employee in the employee table

3. What is polymorphism explain with code

4. Can one try catch block have multiple catch statements?

5. What is a transaction?

6. What is meant by the term Docker?

7.Questions on project

8. DSA questions - binary search, time complexity analysis, reverse string using recursion, find kth largest element in an array

9. More questions were asked on OOPs- types of polymorphism along with code, difference between abstract class and interface, Singleton classes

10. Difference between mongoDB and SQL

11. Questions on DBMS- deadlocks, few sql queries and a puzzle was asked at the end","1.Write code for Fibonacci series (Open to code in any language my preference was python)

2. Write a program to parse the boundary elements of a 2D matrix in clockwise direction (Open to code in any language my preference was python)

3. Why are strings immutable in java and how to make them mutable",
5,Amadeus ,"""There was a panel interview instead of personal interview. There were 3 people, amongst them 1 person from HR team and 1 person from Technical side. Mostly common HR questions were asked, like :-
1. Introduce yourself
2. Why did you choose this company?
3. Tell me about your hobbies
4. Discuss on the topic """"Timeline kills Creativity""""
5. What are the projects that you have done, and other certifications 
6. Are you a team player, or a team leader
After that the Technical round started. Questions were :-
1.Explain OOPS concept in your choice of language (mine was C++)
2. Why did you choose C++ and not Java?
3. Write code for Operator overloading, Function overloading and Dynamic binding.
4. Write code for Merge sort and explain
5. Explain Quick sort
6. Explain what is Time Complexity
7. According to you, what is the definition of Data Structures
8. Explain what are the ML/AI algorithms you've used in your projects.
""Technical round(50 min):
9.Oops:  Oops, oops pillar, Implement polymorphism(Function Overloading,  Function Overriding), More question on inheritance and polymorphism. Implement class for MakeMyTrip website.
10. Dbms:  Normalization and its forms
11. OS:  Multi-Threading, Multiprocessing OS, example of OS.
12. What if two people are booking same ticket and how to handle it?.
13. While searching for a flight how the different airline data are rendered ?""","1. Time Complexity
2. OOPS concepts, Sorting Algorithms
3. Linked lists, definition and manipulation 
4. Trees and graphs
5. ML/AI algorithms
6. Data structures
7.Implement Tree from scratch from the given arrays.",
6,Bosch Drive,"1. ""Questions related to language provided in resume 
Eg. Python 
2. Features, how it will advance in future, how different it is compared to other languages.
3. Libraries, some coding questions, OOPS concepts, DS ""
4 Django,flutter cross questions
5. On project",1. Sorting,
7,Chainalytics,"1.Oops concepts with real time examples
2. Basics of sql(primary key, foreign key, unique, not null) 
3. DML and DDL
4. Basic queries
5. Aggregate functions
6. Limit function in dbms Transactions, 
7. ACID properties
","1. Reverse a string
2. Fibonacci using recursion
3. Factorial using recursion
4. Quick sort and merge sort implementation
5. All OOPS concept implementation
6. Linked list using oops
7. Stack implementation using oops",
8,CLARIVATE ANALYTICS,"1. implement all types of polymorphism 
2. ""Definitions of all DS 
3. Applications of Some DSA
4. Project related questions
5. Tree traversal
6. Some basic questions related to Java program ""
7. Thorough Discussion on projects for 35 minutes. Told to write the code of the core logic of the project , database schema and database connectivity. Further discussion on time complexity of the code and how to improve it. 

8.Javascript Concept check like how to manipulate the dom , 2d array, how javascript is helpful in making the webpage interactive. 

9. Thorough Discussion on 4 pillars of Oops Concept with coding. ""
A query on updation ","1. find unique elements in an array and variation of coin exchange problem
2. ""Reverse of list items in python
3. Elimination of repeated numbers in list
4. String reverse program in Java
5. Find the second maximum number in the array.
6.  Programming language used - Java. : They asked me to code 2 coding questions. one is finding frequency of letters in a string using hashmap method the other one is printing a string excluding special characters.",
9,Deloitte ,"1. Sorting algorithm
2. Search method
3. Oops concepts
4. DBMS
5. Project 
6. What is ML
7. What is multiclass regression
8.Program to count no of words 
9.Real word regression example with internal and external factors.
10.Java oops concepts.
11. Questions related to my Java project 
12. How was your progress with Deloitte interviews throughout the day ","1. Java : Swap a number without a third variable
2. Java rotate matrix""
3. Program to count no of words (any language)
4. Program to replace a word (python)
5. Program to split 2 words (python)""",
10,EY,-,1. We had an online coding round. There were 2 questions and we have 1hr 15 minutes to solve it. We could use any language,
